Title	Genre
The Tale of Despereaux (2008)	'Animation', 'Adventure', 'Comedy'
Train (2008)	'Horror', 'Thriller'
Jibeuro ganeun gil (2013)	'Drama'
Satan's Little Helper (2004)	'Comedy', 'Horror'
Des gens qui s'embrassent (2013)	'Comedy', 'Romance'
Funny Games (1997)	'Crime', 'Drama', 'Horror'
BloodRayne (2005)	'Action', 'Adventure', 'Fantasy'
L'affaire Farewell (2009)	'Drama', 'Romance', 'Thriller'
The Lucky Ones (2008)	'Comedy', 'Drama'
Before Night Falls (2000)	'Biography', 'Drama', 'Romance'
What We Did on Our Holiday (2014)	'Comedy', 'Drama'
Side Effects (2005)	'Romance', 'Comedy', 'Drama'
Autumn in New York (2000)	'Drama', 'Romance'
SlingShot (2014)	'Documentary', 'Biography'
Under sandet (2015)	'Drama'
Touch of Pink (2004)	'Drama', 'Comedy', 'Romance'
Kynodontas (2009)	'Drama', 'Thriller'
Joy (2015)	'Drama'
Chinese Take-Out (2011)	'Comedy', 'Drama'
Phantasm IV: Oblivion (1998)	'Fantasy', 'Horror', 'Sci-Fi'
An Honest Liar (2014)	'Documentary', 'Biography', 'Comedy'
Cabin Boy (1994)	'Adventure', 'Comedy', 'Romance'
Secret Passage (2004)	'Drama'
Il ricco, il povero e il maggiordomo (2014)	'Comedy'
Gone Nutty (2002)	'Animation', 'Adventure'
Gli ultimi saranno ultimi (2015)	'Comedy', 'Drama'
San ging chaat goo si (2004)	'Action', 'Crime', 'Drama'
[Rec] 2 (2009)	'Horror'
Skenbart: En film om tí«g (2003)	'Comedy', 'Thriller'
Porto da Minha InfÌ¢ncia (2001)	'Drama'
Northpole (2014)	'Fantasy'
alaskaLand (2012)	'Drama'
Fast Getaway (1991)	'Action', 'Comedy', 'Crime'
The Way Way Back (2013)	'Comedy', 'Drama'
Guilty as Sin (1993)	'Crime', 'Drama', 'Thriller'
Seeking a Friend for the End of the World (2012)	'Adventure', 'Comedy', 'Drama'
Se Eu Fosse VocíÈ (2006)	'Comedy'
O Mercado de NotÌ_cias (2014)	'Documentary', 'Drama'
The Misadventures of Margaret (1998)	'Comedy', 'Romance'
22 Jump Street (2014)	'Action', 'Comedy', 'Crime'
Traders (2015)	'Thriller'
The Class of 92 (2013)	'Documentary'
The Wicked (2013)	'Fantasy', 'Horror', 'Thriller'
The Fast and the Furious (2001)	'Action', 'Crime', 'Thriller'
Standing Army (2010)	'Documentary'
